Period$_b$      	        2.5079231450 +         0.0004212876 -         0.0000023582 
T$_0,$$_b$      	     2021.0706782680 +         0.0018776145 -         0.0005174882 
$\sqrt{e}\cos \omega$$_b$	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sqrt{e}\sin \omega$$_b$	        0.0000000000 +         0.0000000000 -         0.0000000000 
i$_b$           	       89.9158218264 +         0.0040542474 -         0.4579806933 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0039632898 +         0.0139323805 -         0.0039566105 
R$_p$/R$_s$$_b$ 	        0.0121232826 +         0.0001709362 -         0.0002348663 
Period$_c$      	        7.9223737216 +         0.0000148468 -         0.0000690036 
T$_0,$$_c$      	     2027.9027892366 +         0.0002432660 -         0.0000004804 
$\sqrt{e}\cos \omega$$_c$	       -0.1153000181 +         0.0062213083 -         0.0084377980 
$\sqrt{e}\sin \omega$$_c$	       -0.3537760106 +         0.0189888661 -         0.0019151228 
i$_c$           	       88.4084780762 +         0.0408173858 -         0.0064246577 
$\Omega$$_c$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_c$  	        0.1013207650 +         0.0024417308 -         0.0010702286 
R$_p$/R$_s$$_c$ 	        0.0770726671 +         0.0003497382 -         0.0005193195 
Period$_d$      	       11.8979667614 +         0.0000003968 -         0.0004020092 
T$_0,$$_d$      	     2020.0010129458 +         0.0007024087 -         0.0000004152 
$\sqrt{e}\cos \omega$$_d$	       -0.0600942257 +         0.0019613444 -         0.0082430446 
$\sqrt{e}\sin \omega$$_d$	       -0.3947926624 +         0.0088749785 -         0.0018027379 
i$_d$           	       88.8227096155 +         0.0308067271 -         0.0066614914 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        0.0352524680 +         0.0009470178 -         0.0003375117 
R$_p$/R$_s$$_d$ 	        0.0458402020 +         0.0000307480 -         0.0004197158 
M$_s$           	        0.8989579749 +         0.0026331663 -         0.0000004803 
R$_s$           	        0.8756266532 +         0.0074437297 -         0.0109838598 
c$_1$           	        0.3022720952 +         0.0606079634 -         0.0000054505 
c$_2$           	        0.3630441014 +         0.0295681160 -         0.0431446112 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
chisq           	     3507.7427698667 +      3025.9088918907 -        23.4875502154 
M$_b$           	        1.2596428240 +         4.4280948347 -         1.2575199494 
M$_c$           	       32.2025340383 +         0.7760493927 -         0.3401481842 
M$_d$           	       11.2042067565 +         0.3009883805 -         0.1072705172 
R$_b$           	        1.1665593397 +         0.0033073491 -         0.0453536184 
R$_c$           	        7.3478791769 +         0.1070683997 -         0.1128029247 
R$_d$           	        4.3710311674 +         0.0456149119 -         0.0830965312 
$\rho$$_b$      	        4.4006785001 +        17.2196707245 -         4.3932940506 
$\rho$$_c$      	        0.4516581394 +         0.0262857011 -         0.0276192322 
$\rho$$_d$      	        0.7336555257 +         0.0637467788 -         0.0168862502 
$e_b$           	        0.0000000000 +         0.0000000000 -         0.0000000000 
$e_c$           	        0.1398080810 +         0.0000024226 -         0.0152790847 
$e_d$           	        0.1594728570 +         0.0022645770 -         0.0067415248 
