Period$_b$      	       13.8747422160 +         0.0414727722 -         0.0374392231 
T$_0,$$_b$      	      808.6609833092 +         0.0715136657 -         0.1071630818 
$\sqrt{e}\cos \omega$$_b$	        0.2005375969 +         0.3266520483 -         0.2400619914 
$\sqrt{e}\sin \omega$$_b$	        0.1626534844 +         0.1714072270 -         0.1493316251 
i$_b$           	       90.3015379015 +         0.0607312987 -         0.0428233229 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0577267875 +         0.1178891753 -         0.0577225761 
R$_p$/R$_s$$_b$ 	        0.0067232309 +         0.0167502578 -         0.0065132596 
Period$_c$      	       16.2291297090 +         0.0584703248 -         0.0493621736 
T$_0,$$_c$      	      802.6786549712 +         0.0648894047 -         0.0349099652 
$\sqrt{e}\cos \omega$$_c$	        0.2004309687 +         0.0708080018 -         0.0830495380 
$\sqrt{e}\sin \omega$$_c$	       -0.0486117954 +         0.0887703209 -         0.1955882064 
i$_c$           	       90.1663254306 +         0.6597192128 -         0.1572872334 
$\Omega$$_c$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_c$  	        0.0171787689 +         0.0163408981 -         0.0164945819 
R$_p$/R$_s$$_c$ 	        0.0077298863 +         0.0339246889 -         0.0069687506 
M$_s$           	        1.0710000000 +         0.0000000000 -         0.0000000000 
R$_s$           	        1.6260000000 +         0.0000000000 -         0.0000000000 
c$_1$           	        0.4195898443 +         0.0000240732 -         0.0000260044 
c$_2$           	        0.0949553025 +         0.0000730412 -         0.0001116154 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
chisq           	    97583.5058766471 +    515750.8789387945 -     28496.5472179631 
M$_b$           	       18.3471654667 +        37.4684318696 -        18.3458269568 
M$_c$           	        5.4598866322 +         5.1935881730 -         5.2424331257 
R$_b$           	        1.1920154203 +         2.9697872912 -         1.1547879348 
R$_c$           	        1.3704934084 +         6.0147796484 -         1.2355455706 
$\rho$$_b$      	       44.3698191409 +    167195.5569795556 -        44.3679203606 
$\rho$$_c$      	        8.4567998355 +     12033.5826607825 -         8.4012306669 
$e_b$           	        0.0639954306 +         0.2875068391 -         0.0624940795 
$e_c$           	        0.0429502768 +         0.0902469718 -         0.0251469924 
